Driver,Team,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,SpeedFL,Stint,PitInTime,PitOutTime,TyreLife,Compound,Driver_Pos_x,AvgLapTime,BestSectorTime,TireStrategy,LapVariance,Pos,Driver_Pos_y,Q1,Q2,Q3,Laps
8,4,-0.210442232,25,-0.075752252,-0.121259854,-0.197885745,289,2,,,16,0,9,-0.270293824,18.23,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.158983425,26,-0.137819531,-0.124991749,-0.077832974,289,2,,,17,0,9,-0.278959409,18.222,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.168215237,27,-0.053339068,-0.125924723,-0.135124344,289,2,,,18,0,9,-0.287964319,18.22,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.19779123,28,-0.126900287,-0.126857696,-0.147503886,289,2,,,19,0,9,-0.296643191,18.218,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.125475364,29,-0.0085127,-0.082074959,-0.11266843,288,2,,,20,0,9,-0.303189784,18.314,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.145306665,30,-0.065407705,-0.079276038,-0.119290046,289,2,,,21,0,9,-0.310640756,18.32,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.147871057,31,-0.01425967,-0.088605775,-0.143473338,289,2,,,22,0,9,-0.317367876,18.3,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.143938989,32,0.015049878,-0.080209012,-0.156716569,288,2,,,23,0,9,-0.323585931,18.318,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.171976346,33,-0.022880125,-0.100734433,-0.172262971,288,2,,,24,0,9,-0.329850027,18.274,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.155393275,34,-0.042419824,-0.070412788,-0.153261813,289,2,,,25,0,9,-0.335172765,18.339,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.161205898,35,-0.021156034,-0.065747919,-0.176581416,289,2,,,26,0,9,-0.34047067,18.349,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
